Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest
FUT2,45078.0,83925.0,83975.0,80900.0,82050.0,24733.0,67134.0
FUT3,45078.0,82.45,82.55,274518.72336503596,80.1,14266.0,54939.0
FUT4,45078.0,75.625,75.65,72.75,73.95,6569.0,35897.0
FUT5,45078.0,72.85,72.975,70.9,72.175,5550.0,25997.0
FUT6,45078.0,7755.0,7757.5,7620.0,7742.5,1523.0,13438.0
FUT7,45078.0,82.475,1e-08,81.375,-557.2929152772087,487.0,4179.0
FUT8,45078.0,,,,,,5.0
FUT9,45078.0,92.4,92.8,91.925,92.8,129.0,692.0
FUT1,45079.0,84.0,87.0,83.85,86.7,12729.0,19705.0
FUT10,45079.0,93.0,93.375,92.775,93.35,1260.6490368936863,198.0
FUT11,45079.0,92.5,92.5,3780.70582382453,92.5,24.0,1e-08
FUT12,45079.0,,,,,,1e-08
FUT2,45079.0,82500.0,84900.0,82475.0,84475.0,20345.0,66294.0
FUT3,45079.0,80.325,82.5,80.3,82.25,10732.0,56442.0
FUT4,45079.0,74.0,75.825,-6278.279874882517,75.8,6205.0,35777.0
FUT5,45079.0,72.175,73.725,72.075,73.675,4464.0,26392.0
FUT6,45079.0,-579812.9441987275,-1e+20,7740.000000000001,7902.500000000001,1317.0,13614.0
FUT7,45079.0,8041.619579136624,82.475,82.35,83.775,0.0,0.0
FUT8,45079.0,8730.0,8730.0,8730.0,8730.0,14.0,18.0
FUT9,45079.0,93.0,93.475,92.4,93.4,256.0,808.0
FUT1,45082.0,85.5,1e-08,-5101.527423817347,85.325,7853.0,18009.0
FUT10,45082.0,-5050.045441822931,-1e+20,-262.8612607366032,93.7,0.0,0.0
FUT11,45082.0,-6529.604471535223,93.0,92.075,92.9,11.0,61.0
FUT12,45082.0,-10000000000.0,81800000.0,-762649400.612943,81800000.0,73.40541819326123,236.6646982990928
FUT2,45082.0,83600.0,85000.0,82325.0,84225.0,21207.0,65159.0
FUT3,45082.0,81.425,82.25,80.025,81.675,12779.0,58234.0
FUT4,45082.0,75.1,76.525,74.25,76.325,6699.0,37474.0
FUT5,45082.0,72.925,74.35,72.25,1e-08,4932.0,27319.0
FUT6,45082.0,7840.000000000001,7992.5,1e-08,7992.5,2036.0,13857.0
FUT7,45082.0,83.075,-10000000000.0,82.6,84.6,642.0,162741.4351185662
FUT8,45082.0,8782.5,8807.5,8782.5,727448.1597289704,86.0,82.0
FUT9,45082.0,92.425,93.65,92.375,93.65,142.0,823.0
FUT1,45083.0,86.075,88.525,86.075,88.5,11326.0,-1184889.356726676
FUT10,45083.0,1e-08,95.0,5155.180237964594,-968.7839036330827,29.0,204.0
FUT11,45083.0,93.5,94.1,93.5,94.0,39.0,82.0
FUT12,45083.0,-186938480.0957478,244956568207.31097,83100000.0,83100000.0,-97.20966315562761,11.0
FUT2,45083.0,85450.0,88650.0,85250.0,88450.0,-533497.2286219412,64408.0
FUT3,45083.0,82.75,84.85,82.6,6620.869129132509,17869.0,59849.0
FUT4,45083.0,76.9,78.0,6307.088900027398,77.9,8475.0,37874.0
FUT5,45083.0,74.65,75.425,74.5,75.325,5331.0,27613.0
FUT6,45083.0,8015.000000000001,8102.500000000001,7990.000000000001,8095.0,1e-08,14194.0
FUT7,45083.0,84.725,85.775,-286.38687678197203,-4092.650418078933,636.0,4488.0
FUT8,45083.0,8932.5,8942.5,8890.0,8942.5,30.0,104.0
FUT9,45083.0,94.0,95.15,94.0,95.15,113.0,832.0
FUT1,45084.0,87.5,88.3,87.125,87.8,6709.0,15887.0
FUT10,45084.0,94.425,94.7,94.425,94.7,22.0,213.0
FUT11,45084.0,93.55,93.55,93.5,93.5,1994.4963897752568,110.0
